,begin,end,link,counts
0,0.0,900.0,10_16,45.0
1,0.0,900.0,10_4,82.0
2,0.0,900.0,10_9,91.0
3,0.0,900.0,12_13,99.0
4,0.0,900.0,13_12,78.0
5,0.0,900.0,13_14,49.0
6,0.0,900.0,13_19,39.0
7,0.0,900.0,13_7,66.0
8,0.0,900.0,14_13,45.0
9,0.0,900.0,14_15,45.0
10,0.0,900.0,14_20,127.0
11,0.0,900.0,14_8,38.0
12,0.0,900.0,15_14,46.0
13,0.0,900.0,15_16,71.0
14,0.0,900.0,15_21,47.0
15,0.0,900.0,15_9,85.0
16,0.0,900.0,16_10,62.0
17,0.0,900.0,16_15,103.0
18,0.0,900.0,16_17,94.0
19,0.0,900.0,16_22,51.0
20,0.0,900.0,17_16,108.0
21,0.0,900.0,18_19,127.0
22,0.0,900.0,19_13,43.0
23,0.0,900.0,19_18,92.0
24,0.0,900.0,19_20,82.0
25,0.0,900.0,19_25,88.0
26,0.0,900.0,1_7,130.0
27,0.0,900.0,20_14,136.0
28,0.0,900.0,20_19,62.0
29,0.0,900.0,20_21,6.0
30,0.0,900.0,20_26,47.0
31,0.0,900.0,21_15,45.0
32,0.0,900.0,21_20,3.0
33,0.0,900.0,21_22,39.0
34,0.0,900.0,21_27,64.0
35,0.0,900.0,22_16,110.0
36,0.0,900.0,22_21,32.0
37,0.0,900.0,22_23,70.0
38,0.0,900.0,22_28,16.0
39,0.0,900.0,23_22,115.0
40,0.0,900.0,25_19,102.0
41,0.0,900.0,25_26,70.0
42,0.0,900.0,25_31,88.0
43,0.0,900.0,26_20,75.0
44,0.0,900.0,26_25,69.0
45,0.0,900.0,26_27,68.0
46,0.0,900.0,26_32,79.0
47,0.0,900.0,27_21,94.0
48,0.0,900.0,27_26,79.0
49,0.0,900.0,27_28,43.0
50,0.0,900.0,27_33,68.0
51,0.0,900.0,28_22,38.0
52,0.0,900.0,28_27,89.0
53,0.0,900.0,28_34,59.0
54,0.0,900.0,2_8,96.0
55,0.0,900.0,31_25,122.0
56,0.0,900.0,32_26,126.0
57,0.0,900.0,33_27,85.0
58,0.0,900.0,34_28,139.0
59,0.0,900.0,3_9,98.0
60,0.0,900.0,4_10,115.0
61,0.0,900.0,7_1,86.0
62,0.0,900.0,7_13,60.0
63,0.0,900.0,7_8,100.0
64,0.0,900.0,8_14,80.0
65,0.0,900.0,8_2,83.0
66,0.0,900.0,8_7,67.0
67,0.0,900.0,8_9,152.0
68,0.0,900.0,9_10,57.0
69,0.0,900.0,9_15,98.0
70,0.0,900.0,9_3,73.0
71,0.0,900.0,9_8,181.0
72,900.0,1800.0,10_16,63.0
73,900.0,1800.0,10_4,102.0
74,900.0,1800.0,10_9,107.0
75,900.0,1800.0,12_13,104.0
76,900.0,1800.0,13_12,88.0
77,900.0,1800.0,13_14,60.0
78,900.0,1800.0,13_19,55.0
79,900.0,1800.0,13_7,77.0
80,900.0,1800.0,14_13,62.0
81,900.0,1800.0,14_15,50.0
82,900.0,1800.0,14_20,185.0
83,900.0,1800.0,14_8,88.0
84,900.0,1800.0,15_14,35.0
85,900.0,1800.0,15_16,99.0
86,900.0,1800.0,15_21,62.0
87,900.0,1800.0,15_9,77.0
88,900.0,1800.0,16_10,74.0
89,900.0,1800.0,16_15,114.0
90,900.0,1800.0,16_17,138.0
91,900.0,1800.0,16_22,80.0
92,900.0,1800.0,17_16,128.0
93,900.0,1800.0,18_19,133.0
94,900.0,1800.0,19_13,50.0
95,900.0,1800.0,19_18,128.0
96,900.0,1800.0,19_20,113.0
97,900.0,1800.0,19_25,110.0
98,900.0,1800.0,1_7,113.0
99,900.0,1800.0,20_14,177.0
100,900.0,1800.0,20_19,105.0
101,900.0,1800.0,20_21,10.0
102,900.0,1800.0,20_26,84.0
103,900.0,1800.0,21_15,65.0
104,900.0,1800.0,21_20,8.0
105,900.0,1800.0,21_22,61.0
106,900.0,1800.0,21_27,117.0
107,900.0,1800.0,22_16,121.0
108,900.0,1800.0,22_21,66.0
109,900.0,1800.0,22_23,98.0
110,900.0,1800.0,22_28,29.0
111,900.0,1800.0,23_22,158.0
112,900.0,1800.0,25_19,109.0
113,900.0,1800.0,25_26,77.0
114,900.0,1800.0,25_31,130.0
115,900.0,1800.0,26_20,72.0
116,900.0,1800.0,26_25,74.0
117,900.0,1800.0,26_27,111.0
118,900.0,1800.0,26_32,124.0
119,900.0,1800.0,27_21,116.0
120,900.0,1800.0,27_26,97.0
121,900.0,1800.0,27_28,82.0
122,900.0,1800.0,27_33,120.0
123,900.0,1800.0,28_22,20.0
124,900.0,1800.0,28_27,75.0
125,900.0,1800.0,28_34,110.0
126,900.0,1800.0,2_8,115.0
127,900.0,1800.0,31_25,130.0
128,900.0,1800.0,32_26,125.0
129,900.0,1800.0,33_27,122.0
130,900.0,1800.0,34_28,87.0
131,900.0,1800.0,3_9,132.0
132,900.0,1800.0,4_10,113.0
133,900.0,1800.0,7_1,127.0
134,900.0,1800.0,7_13,70.0
135,900.0,1800.0,7_8,80.0
136,900.0,1800.0,8_14,119.0
137,900.0,1800.0,8_2,85.0
138,900.0,1800.0,8_7,97.0
139,900.0,1800.0,8_9,209.0
140,900.0,1800.0,9_10,88.0
141,900.0,1800.0,9_15,110.0
142,900.0,1800.0,9_3,107.0
143,900.0,1800.0,9_8,225.0
144,1800.0,2700.0,10_16,69.0
145,1800.0,2700.0,10_4,117.0
146,1800.0,2700.0,10_9,99.0
147,1800.0,2700.0,12_13,92.0
148,1800.0,2700.0,13_12,88.0
149,1800.0,2700.0,13_14,53.0
150,1800.0,2700.0,13_19,42.0
151,1800.0,2700.0,13_7,85.0
152,1800.0,2700.0,14_13,68.0
153,1800.0,2700.0,14_15,39.0
154,1800.0,2700.0,14_20,172.0
155,1800.0,2700.0,14_8,103.0
156,1800.0,2700.0,15_14,66.0
157,1800.0,2700.0,15_16,83.0
158,1800.0,2700.0,15_21,62.0
159,1800.0,2700.0,15_9,110.0
160,1800.0,2700.0,16_10,52.0
161,1800.0,2700.0,16_15,99.0
162,1800.0,2700.0,16_17,119.0
163,1800.0,2700.0,16_22,90.0
164,1800.0,2700.0,17_16,94.0
165,1800.0,2700.0,18_19,103.0
166,1800.0,2700.0,19_13,43.0
167,1800.0,2700.0,19_18,105.0
168,1800.0,2700.0,19_20,86.0
169,1800.0,2700.0,19_25,109.0
170,1800.0,2700.0,1_7,95.0
171,1800.0,2700.0,20_14,162.0
172,1800.0,2700.0,20_19,101.0
173,1800.0,2700.0,20_21,14.0
174,1800.0,2700.0,20_26,87.0
175,1800.0,2700.0,21_15,52.0
176,1800.0,2700.0,21_20,11.0
177,1800.0,2700.0,21_22,72.0
178,1800.0,2700.0,21_27,120.0
179,1800.0,2700.0,22_16,108.0
180,1800.0,2700.0,22_21,69.0
181,1800.0,2700.0,22_23,102.0
182,1800.0,2700.0,22_28,38.0
183,1800.0,2700.0,23_22,122.0
184,1800.0,2700.0,25_19,94.0
185,1800.0,2700.0,25_26,65.0
186,1800.0,2700.0,25_31,132.0
187,1800.0,2700.0,26_20,91.0
188,1800.0,2700.0,26_25,77.0
189,1800.0,2700.0,26_27,106.0
190,1800.0,2700.0,26_32,126.0
191,1800.0,2700.0,27_21,110.0
192,1800.0,2700.0,27_26,115.0
193,1800.0,2700.0,27_28,81.0
194,1800.0,2700.0,27_33,131.0
195,1800.0,2700.0,28_22,31.0
196,1800.0,2700.0,28_27,91.0
197,1800.0,2700.0,28_34,119.0
198,1800.0,2700.0,2_8,127.0
199,1800.0,2700.0,31_25,102.0
200,1800.0,2700.0,32_26,134.0
201,1800.0,2700.0,33_27,119.0
202,1800.0,2700.0,34_28,129.0
203,1800.0,2700.0,3_9,105.0
204,1800.0,2700.0,4_10,114.0
205,1800.0,2700.0,7_1,122.0
206,1800.0,2700.0,7_13,56.0
207,1800.0,2700.0,7_8,105.0
208,1800.0,2700.0,8_14,85.0
209,1800.0,2700.0,8_2,126.0
210,1800.0,2700.0,8_7,94.0
211,1800.0,2700.0,8_9,220.0
212,1800.0,2700.0,9_10,114.0
213,1800.0,2700.0,9_15,113.0
214,1800.0,2700.0,9_3,111.0
215,1800.0,2700.0,9_8,190.0
216,2700.0,3600.0,10_16,69.0
217,2700.0,3600.0,10_4,115.0
218,2700.0,3600.0,10_9,79.0
219,2700.0,3600.0,12_13,130.0
220,2700.0,3600.0,13_12,97.0
221,2700.0,3600.0,13_14,83.0
222,2700.0,3600.0,13_19,33.0
223,2700.0,3600.0,13_7,74.0
224,2700.0,3600.0,14_13,44.0
225,2700.0,3600.0,14_15,49.0
226,2700.0,3600.0,14_20,161.0
227,2700.0,3600.0,14_8,66.0
228,2700.0,3600.0,15_14,40.0
229,2700.0,3600.0,15_16,92.0
230,2700.0,3600.0,15_21,69.0
231,2700.0,3600.0,15_9,110.0
232,2700.0,3600.0,16_10,79.0
233,2700.0,3600.0,16_15,79.0
234,2700.0,3600.0,16_17,119.0
235,2700.0,3600.0,16_22,89.0
236,2700.0,3600.0,17_16,99.0
237,2700.0,3600.0,18_19,122.0
238,2700.0,3600.0,19_13,60.0
239,2700.0,3600.0,19_18,98.0
240,2700.0,3600.0,19_20,90.0
241,2700.0,3600.0,19_25,84.0
242,2700.0,3600.0,1_7,93.0
243,2700.0,3600.0,20_14,143.0
244,2700.0,3600.0,20_19,80.0
245,2700.0,3600.0,20_21,15.0
246,2700.0,3600.0,20_26,94.0
247,2700.0,3600.0,21_15,62.0
248,2700.0,3600.0,21_20,14.0
249,2700.0,3600.0,21_22,58.0
250,2700.0,3600.0,21_27,128.0
251,2700.0,3600.0,22_16,104.0
252,2700.0,3600.0,22_21,79.0
253,2700.0,3600.0,22_23,89.0
254,2700.0,3600.0,22_28,25.0
255,2700.0,3600.0,23_22,121.0
256,2700.0,3600.0,25_19,96.0
257,2700.0,3600.0,25_26,49.0
258,2700.0,3600.0,25_31,101.0
259,2700.0,3600.0,26_20,66.0
260,2700.0,3600.0,26_25,72.0
261,2700.0,3600.0,26_27,84.0
262,2700.0,3600.0,26_32,129.0
263,2700.0,3600.0,27_21,102.0
264,2700.0,3600.0,27_26,105.0
265,2700.0,3600.0,27_28,68.0
266,2700.0,3600.0,27_33,126.0
267,2700.0,3600.0,28_22,31.0
268,2700.0,3600.0,28_27,75.0
269,2700.0,3600.0,28_34,92.0
270,2700.0,3600.0,2_8,114.0
271,2700.0,3600.0,31_25,90.0
272,2700.0,3600.0,32_26,90.0
273,2700.0,3600.0,33_27,113.0
274,2700.0,3600.0,34_28,100.0
275,2700.0,3600.0,3_9,122.0
276,2700.0,3600.0,4_10,105.0
277,2700.0,3600.0,7_1,138.0
278,2700.0,3600.0,7_13,60.0
279,2700.0,3600.0,7_8,81.0
280,2700.0,3600.0,8_14,73.0
281,2700.0,3600.0,8_2,98.0
282,2700.0,3600.0,8_7,105.0
283,2700.0,3600.0,8_9,170.0
284,2700.0,3600.0,9_10,80.0
285,2700.0,3600.0,9_15,115.0
286,2700.0,3600.0,9_3,89.0
287,2700.0,3600.0,9_8,184.0
