,id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
0,12.0,2.0,,0.0,55.57,2.0,41.0,,475.38,55.57,39.0,1210.74,0.0,0.0,0.0,0.0,0.0,vehroute_12.0 tripinfo_12.0,DEFAULT_VEHTYPE,1.0,
1,23.0,2.0,,0.0,55.57,2.0,41.0,,429.88,55.57,39.0,1210.74,0.0,0.0,0.0,0.0,0.0,vehroute_23.0 tripinfo_23.0,DEFAULT_VEHTYPE,1.0,
2,44.0,0.0,,0.0,55.56,0.0,60.0,,490.96,55.57,60.0,1558.62,0.0,0.0,0.0,0.0,0.0,vehroute_44.0 tripinfo_44.0,DEFAULT_VEHTYPE,1.0,
3,3.0,8.0,,0.0,55.57,8.0,68.0,,486.13,55.56,60.0,1558.62,0.0,0.0,0.0,0.0,0.0,vehroute_3.0 tripinfo_3.0,DEFAULT_VEHTYPE,1.0,
4,23.1,53.0,,0.0,55.57,0.06,92.0,,429.88,55.57,39.0,1210.74,0.0,0.0,0.0,0.0,0.0,vehroute_23.1 tripinfo_23.1,DEFAULT_VEHTYPE,1.0,
5,58.0,6.0,,0.0,55.57,6.0,98.0,,476.21,55.57,92.0,1990.1,0.0,0.0,0.0,0.0,0.0,vehroute_58.0 tripinfo_58.0,DEFAULT_VEHTYPE,1.0,
6,37.0,8.0,,0.0,55.57,8.0,100.0,,489.02,55.57,92.0,1990.1,0.0,0.0,0.0,0.0,0.0,vehroute_37.0 tripinfo_37.0,DEFAULT_VEHTYPE,1.0,
7,120.0,20.0,,0.0,55.56,20.0,119.0,,494.71,55.55,99.0,2098.47,0.0,0.0,0.0,0.0,0.0,vehroute_120.0 tripinfo_120.0,DEFAULT_VEHTYPE,1.0,
8,131.0,20.0,,0.0,55.55,20.0,119.0,,487.52,55.56,99.0,2098.47,0.0,0.0,0.0,0.0,0.0,vehroute_131.0 tripinfo_131.0,DEFAULT_VEHTYPE,1.0,
9,82.0,10.0,,0.0,55.55,10.0,123.0,,489.02,55.57,113.0,2277.96,0.0,0.0,0.0,1.46,0.0,vehroute_82.0 tripinfo_82.0,DEFAULT_VEHTYPE,1.0,
