,begin,end,link,counts
0,0.0,900.0,10_16,82.0
1,0.0,900.0,10_4,98.0
2,0.0,900.0,10_9,122.0
3,0.0,900.0,12_13,164.0
4,0.0,900.0,13_12,105.0
5,0.0,900.0,13_14,75.0
6,0.0,900.0,13_19,44.0
7,0.0,900.0,13_7,98.0
8,0.0,900.0,14_13,18.0
9,0.0,900.0,14_15,40.0
10,0.0,900.0,14_20,137.0
11,0.0,900.0,14_8,33.0
12,0.0,900.0,15_14,8.0
13,0.0,900.0,15_16,54.0
14,0.0,900.0,15_21,66.0
15,0.0,900.0,15_9,34.0
16,0.0,900.0,16_10,70.0
17,0.0,900.0,16_15,68.0
18,0.0,900.0,16_17,85.0
19,0.0,900.0,16_22,108.0
20,0.0,900.0,17_16,142.0
21,0.0,900.0,18_19,211.0
22,0.0,900.0,19_13,55.0
23,0.0,900.0,19_18,68.0
24,0.0,900.0,19_20,153.0
25,0.0,900.0,19_25,101.0
26,0.0,900.0,1_7,164.0
27,0.0,900.0,20_14,173.0
28,0.0,900.0,20_19,49.0
29,0.0,900.0,20_21,17.0
30,0.0,900.0,20_26,77.0
31,0.0,900.0,21_15,59.0
32,0.0,900.0,21_20,4.0
33,0.0,900.0,21_22,49.0
34,0.0,900.0,21_27,98.0
35,0.0,900.0,22_16,81.0
36,0.0,900.0,22_21,62.0
37,0.0,900.0,22_23,115.0
38,0.0,900.0,22_28,32.0
39,0.0,900.0,23_22,95.0
40,0.0,900.0,25_19,113.0
41,0.0,900.0,25_26,91.0
42,0.0,900.0,25_31,75.0
43,0.0,900.0,26_20,56.0
44,0.0,900.0,26_25,50.0
45,0.0,900.0,26_27,132.0
46,0.0,900.0,26_32,109.0
47,0.0,900.0,27_21,111.0
48,0.0,900.0,27_26,84.0
49,0.0,900.0,27_28,93.0
50,0.0,900.0,27_33,129.0
51,0.0,900.0,28_22,63.0
52,0.0,900.0,28_27,94.0
53,0.0,900.0,28_34,125.0
54,0.0,900.0,2_8,169.0
55,0.0,900.0,31_25,149.0
56,0.0,900.0,32_26,182.0
57,0.0,900.0,33_27,171.0
58,0.0,900.0,34_28,181.0
59,0.0,900.0,3_9,153.0
60,0.0,900.0,4_10,189.0
61,0.0,900.0,7_1,91.0
62,0.0,900.0,7_13,134.0
63,0.0,900.0,7_8,75.0
64,0.0,900.0,8_14,99.0
65,0.0,900.0,8_2,92.0
66,0.0,900.0,8_7,96.0
67,0.0,900.0,8_9,157.0
68,0.0,900.0,9_10,67.0
69,0.0,900.0,9_15,97.0
70,0.0,900.0,9_3,57.0
71,0.0,900.0,9_8,197.0
72,900.0,1800.0,10_16,59.0
73,900.0,1800.0,10_4,158.0
74,900.0,1800.0,10_9,33.0
75,900.0,1800.0,12_13,191.0
76,900.0,1800.0,13_12,114.0
77,900.0,1800.0,13_14,114.0
78,900.0,1800.0,13_19,68.0
79,900.0,1800.0,13_7,123.0
80,900.0,1800.0,14_13,51.0
81,900.0,1800.0,14_15,75.0
82,900.0,1800.0,14_20,158.0
83,900.0,1800.0,14_8,204.0
84,900.0,1800.0,15_14,24.0
85,900.0,1800.0,15_16,76.0
86,900.0,1800.0,15_21,48.0
87,900.0,1800.0,15_9,8.0
88,900.0,1800.0,16_10,48.0
89,900.0,1800.0,16_15,102.0
90,900.0,1800.0,16_17,119.0
91,900.0,1800.0,16_22,122.0
92,900.0,1800.0,17_16,132.0
93,900.0,1800.0,18_19,158.0
94,900.0,1800.0,19_13,77.0
95,900.0,1800.0,19_18,122.0
96,900.0,1800.0,19_20,136.0
97,900.0,1800.0,19_25,68.0
98,900.0,1800.0,1_7,127.0
99,900.0,1800.0,20_14,235.0
100,900.0,1800.0,20_19,64.0
101,900.0,1800.0,20_21,23.0
102,900.0,1800.0,20_26,108.0
103,900.0,1800.0,21_15,75.0
104,900.0,1800.0,21_20,17.0
105,900.0,1800.0,21_22,88.0
106,900.0,1800.0,21_27,129.0
107,900.0,1800.0,22_16,121.0
108,900.0,1800.0,22_21,105.0
109,900.0,1800.0,22_23,174.0
110,900.0,1800.0,22_28,46.0
111,900.0,1800.0,23_22,181.0
112,900.0,1800.0,25_19,105.0
113,900.0,1800.0,25_26,73.0
114,900.0,1800.0,25_31,106.0
115,900.0,1800.0,26_20,124.0
116,900.0,1800.0,26_25,76.0
117,900.0,1800.0,26_27,142.0
118,900.0,1800.0,26_32,134.0
119,900.0,1800.0,27_21,162.0
120,900.0,1800.0,27_26,127.0
121,900.0,1800.0,27_28,112.0
122,900.0,1800.0,27_33,142.0
123,900.0,1800.0,28_22,55.0
124,900.0,1800.0,28_27,108.0
125,900.0,1800.0,28_34,158.0
126,900.0,1800.0,2_8,146.0
127,900.0,1800.0,31_25,130.0
128,900.0,1800.0,32_26,185.0
129,900.0,1800.0,33_27,207.0
130,900.0,1800.0,34_28,153.0
131,900.0,1800.0,3_9,67.0
132,900.0,1800.0,4_10,176.0
133,900.0,1800.0,7_1,100.0
134,900.0,1800.0,7_13,83.0
135,900.0,1800.0,7_8,60.0
136,900.0,1800.0,8_14,50.0
137,900.0,1800.0,8_2,93.0
138,900.0,1800.0,8_7,51.0
139,900.0,1800.0,8_9,294.0
140,900.0,1800.0,9_10,129.0
141,900.0,1800.0,9_15,82.0
142,900.0,1800.0,9_3,109.0
143,900.0,1800.0,9_8,71.0
144,1800.0,2700.0,10_16,57.0
145,1800.0,2700.0,10_4,159.0
146,1800.0,2700.0,10_9,68.0
147,1800.0,2700.0,12_13,134.0
148,1800.0,2700.0,13_12,131.0
149,1800.0,2700.0,13_14,65.0
150,1800.0,2700.0,13_19,52.0
151,1800.0,2700.0,13_7,119.0
152,1800.0,2700.0,14_13,61.0
153,1800.0,2700.0,14_15,60.0
154,1800.0,2700.0,14_20,169.0
155,1800.0,2700.0,14_8,25.0
156,1800.0,2700.0,15_14,23.0
157,1800.0,2700.0,15_16,82.0
158,1800.0,2700.0,15_21,93.0
159,1800.0,2700.0,15_9,24.0
160,1800.0,2700.0,16_10,62.0
161,1800.0,2700.0,16_15,135.0
162,1800.0,2700.0,16_17,127.0
163,1800.0,2700.0,16_22,105.0
164,1800.0,2700.0,17_16,145.0
165,1800.0,2700.0,18_19,214.0
166,1800.0,2700.0,19_13,72.0
167,1800.0,2700.0,19_18,120.0
168,1800.0,2700.0,19_20,145.0
169,1800.0,2700.0,19_25,115.0
170,1800.0,2700.0,1_7,192.0
171,1800.0,2700.0,20_14,214.0
172,1800.0,2700.0,20_19,83.0
173,1800.0,2700.0,20_21,27.0
174,1800.0,2700.0,20_26,90.0
175,1800.0,2700.0,21_15,24.0
176,1800.0,2700.0,21_20,6.0
177,1800.0,2700.0,21_22,104.0
178,1800.0,2700.0,21_27,125.0
179,1800.0,2700.0,22_16,156.0
180,1800.0,2700.0,22_21,87.0
181,1800.0,2700.0,22_23,140.0
182,1800.0,2700.0,22_28,51.0
183,1800.0,2700.0,23_22,162.0
184,1800.0,2700.0,25_19,109.0
